Table 1-35:  U.S. Vehicle-Miles (Millions) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1960,1965,1970,1975,1980,1985,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Air, total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Air carrier, domestic, all services",858,"1,134","2,068","1,638","2,276","3,026","3,963","3,854","3,995","4,156","4,378","4,628","4,807","4,907","5,030","5,326","5,662","5,545","5,613","6,106","6,602","6,716","6,606","6,733","6,446","5,935","5,976","6,005","5,956","5,965","5,947","6,046","6,227","6,338","6,609","6,811"
General aviation,"1,769","2,562","3,207","4,238","5,204","4,673","4,548","4,400","3,465","3,253","3,358","3,795","3,524","3,877",,,,,,,,,,,,,,,,,,,,,,
"Highway, total","718,762","887,812","1,109,724","1,327,664","1,527,295","1,774,826","2,144,362","2,172,050","2,247,151","2,296,378","2,357,588","2,422,696","2,485,848","2,561,695","2,631,522","2,691,335","2,746,925","2,795,610","2,855,508","2,890,221","2,964,788","2,989,430","3,014,371","3,031,124","2,976,528","2,956,764","2,967,266","2,950,402","2,969,433","2,988,280","3,025,656","3,095,373","3,174,408","3,212,347","3,240,327","3,261,772"
"Light duty vehicle, short wheel-baseb","587,012","722,696","916,700","1,033,950","1,111,596","1,246,798","1,408,266","1,358,185","1,371,569","1,374,709","1,406,089","1,438,294","1,469,854","1,502,556","1,549,577","1,569,270","1,600,287","1,627,365","1,658,474","1,671,967","1,699,890","1,708,421","1,690,534","2,104,416","2,024,757","2,015,714","2,025,745","2,046,282","2,062,828","2,074,423","2,072,071","2,147,840","2,191,764","2,220,801","2,232,588","2,254,309"
Motorcycle,,,"2,979","5,629","10,214","9,086","9,557","9,178","9,557","9,906","10,240","9,797","9,920","10,081","10,283","10,584","10,469","9,633","9,552","9,576","10,122","10,454","12,049","21,396","20,811","20,822","18,513","18,542","21,385","20,366","19,970","19,606","20,445","20,149","20,076","19,688"
"Light duty vehicle, long wheel-baseb",,,"123,286","200,700","290,935","390,961","574,571","649,394","706,863","745,750","764,634","790,029","816,540","850,739","868,275","901,121","923,059","942,614","966,034","984,020","1,027,164","1,041,051","1,082,490","586,618","605,456","617,534","622,712","604,175","601,232","603,307","638,484","631,852","657,954","656,578","664,495","669,744"
"Truck, single-unit 2-axle 6-tire or more","98,551","128,769","27,081","34,606","39,813","45,441","51,901","52,898","53,874","56,772","61,284","62,705","64,072","66,893","68,021","70,311","70,500","72,394","75,866","77,748","78,441","78,496","80,344","119,979","126,855","120,207","110,738","103,803","105,605","106,582","109,301","109,597","113,338","116,102","120,699","124,746"
"Truck, combination","28,854","31,665","35,134","46,724","68,678","78,063","94,341","96,645","99,510","103,116","108,932","115,451","118,899","124,584","128,359","132,386","135,020","136,534","138,737","140,128","142,370","144,028","142,169","184,199","183,826","168,100","175,789","163,791","163,602","168,436","169,830","170,246","174,557","181,490","184,165","175,305"
Bus,"4,346","4,681","4,544","6,055","6,059","4,478","5,726","5,750","5,778","6,125","6,409","6,420","6,563","6,842","7,007","7,663","7,590","7,070","6,845","6,782","6,801","6,980","6,783","14,516","14,823","14,387","13,770","13,807","14,781","15,167","15,999","16,230","16,350","17,227","18,303","17,980"
"Transite, total","2,143","2,008","1,883","2,176","2,287","2,791","3,242","3,306","3,355","3,435","3,468","3,550","3,082","3,201","3,347","3,500","3,605","3,735","3,855","3,915","3,972","4,054","4,127","4,238","4,375","4,475","4,400","4,331","4,347","4,413","4,429","4,495","4,545","4,574","4,592","4,628"
Motor bus,"1,576","1,528","1,409","1,526","1,677","1,863","2,130","2,167","2,178","2,210","2,162","2,184","1,813","1,849","1,904","1,985","2,041","2,104","2,156","2,177","2,169","2,192","2,214","2,241","2,272","2,285","2,229","2,109","2,071","1,996","2,012","2,038","2,069","2,086","2,109","2,130"
Light rail,75,42,34,24,18,17,24,28,29,28,34,35,37,41,43,48,52,54,61,64,67,69,74,84,88,90,93,96,101,109,114,117,124,130,131,136
Heavy rail,391,395,407,423,385,451,537,527,525,522,532,537,543,558,566,578,595,608,621,630,642,646,652,657,674,685,666,655,656,674,676,695,696,704,705,719
Trolley bus,101,43,33,15,13,16,14,14,14,13,14,14,14,14,14,14,15,13,14,14,13,13,12,11,12,13,12,12,12,12,11,11,12,11,11,10
Commuter rail,,,,173,179,183,213,215,219,224,231,238,242,251,259,266,271,277,284,286,295,303,315,325,337,337,342,339,344,355,367,369,372,374,375,377
Demand response,,,,,,247,306,335,364,406,464,507,363,410,469,494,532,578,613,640,651,683,708,752,803,847,807,804,808,817,824,842,838,843,836,831
Ferry boat,,,,,,,2,2,2,3,2,3,2,2,2,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5
Other,,,,15,15,15,16,19,24,30,29,34,68,77,90,112,97,100,104,101,131,144,149,163,187,214,248,313,350,447,422,419,431,423,420,419
Rail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Class I freight, train-miles",404,421,427,403,428,347,380,375,390,405,441,458,469,475,475,490,504,500,500,516,535,548,563,543,524,436,476,493,500,504,518,495,453,465,477,445
"Class I freight, car-miles","28,170","29,336","29,890","27,656","29,277","24,920","26,159","25,628","26,128","26,883","28,485","30,383","31,715","31,660","32,657","33,851","34,590","34,243","34,680","35,555","37,071","37,712","38,955","38,186","37,226","32,115","35,541","36,649","36,525","35,253","37,193","35,853","32,572","34,065","35,018","33,242"
"Intercity/Amtraki, train-miles",209,172,93,30,30,30,33,34,34,35,34,32,30,32,33,34,35,36,38,37,37,36,36,37,38,38,37,37,38,38,38,38,38,38,38,(R) 38
"Intercity/Amtraki, car-miles","2,208","1,775",690,253,235,251,301,313,307,303,304,292,276,288,312,342,368,378,379,332,308,265,264,267,272,283,295,296,319,325,325,319,316,316,273,279
Total train-miles,613,593,520,433,458,377,413,409,424,440,475,490,499,507,508,524,539,536,537,553,572,584,599,581,562,475,513,530,538,542,556,532,491,503,514,483
